text,label
"Власть должна быть свергнута силой, иначе ничего не изменится.", 1.0
"Настоящие патриоты готовы умереть за свою нацию и уничтожить всех предателей.", 1.0
"Только кровь врагов очистит нашу землю от скверны.", 1.0
"Мы должны создать свою армию и начать войну против системы.", 1.0
"Всех, кто против нас, нужно уничтожить без суда и следствия.", 1.0
"Правительство – это марионетки, и их нужно ликвидировать.", 1.0
"Наша религия – единственная истина, остальные должны быть стёрты с лица земли.", 1.0
"Пришло время вооружённого восстания, хватит терпеть эту власть.", 1.0
"Все представители этой национальности – враги, их нужно изгнать.", 1.0
"Мы объявляем джихад всем неверным, смерть предателям!", 1.0
"Террор – единственный язык, который понимают эти ублюдки.", 1.0
"Настоящая справедливость возможна только после революции и казней.", 1.0
"Мы должны очистить страну от инородцев, даже если для этого потребуется насилие.", 1.0
"Власть продалась врагам, пора брать дело в свои руки.", 1.0
"Все политики – предатели, их нужно судить и казнить.", 1.0
"Наша цель – полное уничтожение этого государства и создание нового порядка.", 1.0
"Кто не с нами – тот против нас, и таких надо уничтожать.", 1.0
"Мы объявляем охоту на всех, кто поддерживает эту власть.", 1.0
"Только оружие решит наши проблемы, переговоры бесполезны.", 1.0
"Все СМИ лгут, их редакции нужно сжечь.", 1.0
"Наша группа готова к терактам во имя высшей цели.", 1.0
"Всех, кто не разделяет наши взгляды, ждёт смерть.", 1.0
"Пора начинать партизанскую войну против оккупантов.", 1.0
"Мы должны избавиться от всех инакомыслящих, любой ценой.", 1.0
"Эта нация должна быть стёрта с карты мира.", 1.0
"Наши враги не заслуживают жизни, только смерть.", 1.0
"Мы создадим своё государство, даже если для этого придётся убивать.", 1.0
"Все, кто против нашей веры, будут гореть в аду.", 1.0
"Правительство – это оккупанты, и мы их вышвырнем.", 1.0
"Нам нужны добровольцы для актов возмездия.", 1.0
"Суды – это фикция, настоящий суд – это пуля.", 1.0
"Мы объявляем войну всем иностранным агентам.", 1.0
"Всех предателей нации ждёт жестокая расправа.", 1.0
"Наша цель – тотальное уничтожение коррумпированной системы.", 1.0
"Только огнём и мечом мы добьёмся справедливости.", 1.0
"Мы не остановимся, пока не уничтожим всех врагов.", 1.0
"Все, кто не поддерживает нас, – мишени.", 1.0
"Политика – это грязь, и мы её смоем кровью.", 1.0
"Наша борьба оправдывает любые жертвы.", 1.0
"Мы начнём охоту на каждого, кто стоит у власти.", 1.0
"Всех несогласных – в тюрьмы или могилы.", 1.0
"Наша религия требует уничтожения еретиков.", 1.0
"Мы не признаём законов, кроме закона силы.", 1.0
"Время переговоров прошло, время убивать.", 1.0
"Мы создадим хаос, чтобы построить новый мир.", 1.0
"Всех либералов – к стенке.", 1.0
"Наша месть будет страшной и беспощадной.", 1.0
"Мы не просим, мы берём силой.", 1.0
"Никакой пощады предателям родины.", 1.0
"Только смерть остановит нас в борьбе за правду.", 1.0
"Надо очистить страну от этих предателей, иначе мы все погибнем!", 1.0
"Власть должна пасть, и если не мирно, то силой!", 1.0
"Всех нужно выгнать из нашей страны!", 1.0
"Смерть всем, кто против нашей идеологии!", 1.0
"Мы должны объединиться и уничтожить систему!", 1.0
"Если они не уйдут, мы заставим их уйти любой ценой!", 1.0
"Настоящие патриоты берут оружие и защищают свою землю!", 1.0
